Player Name, Minutes Played, Games Played, PER, WS, WS48, OWS, DWS, BPM, OBPM, DBPM, VORP, Usage%, TS%, 3PA rate, FTA rate, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV% 
Alex Abrines,588,31,6.3,0.7,0.056,0.1,0.6,-3.2,-2.3,-0.9,-0.2,12.2,0.507,0.809,0.083,0.9,7.7,4.2,4.3,1.3,0.9,7.9
Steven Adams,1866,55,19.2,7.1,0.182,4.2,2.9,3.0,1.1,1.9,2.4,16.4,0.61,0.002,0.384,13.6,15.3,14.4,6.9,2.1,1.9,11.8
Bam Adebayo,1236,56,16.6,4.0,0.156,2.0,2.0,2.3,-1.0,3.2,1.3,15.2,0.611,0.031,0.524,9.9,22.3,16.1,13.1,1.7,2.9,18.2
LaMarcus Aldridge,1896,58,22.6,6.1,0.155,4.5,1.7,1.3,1.2,0.1,1.6,27.3,0.569,0.025,0.33,10.6,19.7,15.2,12.6,0.8,3.1,9.2
Jarrett Allen,1538,57,18.8,5.4,0.169,3.2,2.2,2.6,-0.4,3.0,1.8,16.2,0.622,0.086,0.444,10.2,24.2,17.1,8.5,1.0,4.6,13.2
Al-Farouq Aminu,1655,57,13.4,4.5,0.129,2.5,2.0,1.4,0.4,1.0,1.4,13.1,0.577,0.499,0.308,5.6,22.8,14.4,6.0,1.5,1.0,9.0
Kyle Anderson,1281,43,13.0,2.8,0.104,0.8,1.9,1.3,-2.1,3.5,1.1,12.8,0.569,0.123,0.232,4.2,18.5,11.2,15.3,2.1,2.8,16.0
Giannis Antetokounmpo,1757,53,30.3,10.6,0.29,6.3,4.3,10.7,5.3,5.3,5.6,31.9,0.638,0.142,0.533,7.7,30.5,19.8,30.3,2.0,3.7,15.3
OG Anunoby,976,48,9.4,1.3,0.063,0.2,1.1,-1.6,-1.4,-0.2,0.1,15.7,0.527,0.508,0.137,4.2,12.0,8.1,4.6,1.6,0.9,9.5
Ryan Arcidiacono,1402,57,10.4,2.4,0.082,1.6,0.8,-1.3,-0.5,-0.8,0.3,10.2,0.573,0.655,0.202,1.1,9.5,5.3,19.9,1.9,0.1,14.1
Trevor Ariza,1910,54,12.0,1.9,0.048,0.9,1.1,-0.4,-0.2,-0.2,0.8,16.5,0.532,0.595,0.209,2.0,15.8,8.8,15.0,2.0,0.6,12.0
D.J. Augustin,1605,58,15.3,4.8,0.143,3.7,1.1,-0.5,1.8,-2.3,0.6,16.7,0.628,0.478,0.367,1.9,6.6,4.2,25.5,1.0,0.1,14.2
Deandre Ayton,1639,53,21.0,4.6,0.134,3.3,1.2,0.8,0.3,0.4,1.1,21.4,0.612,0.006,0.207,11.2,27.2,19.0,10.8,1.2,2.5,11.8
Marvin Bagley,1040,43,17.7,2.3,0.104,1.1,1.1,-1.9,-1.6,-0.3,0.0,22.8,0.568,0.128,0.392,9.8,19.8,14.7,5.8,1.0,3.4,12.2
Lonzo Ball,1423,47,11.9,1.7,0.056,-0.1,1.7,0.7,-0.8,1.5,1.0,16.9,0.487,0.5,0.105,4.0,13.8,9.1,23.7,2.3,1.1,17.8
Mohamed Bamba,766,47,15.0,1.6,0.103,0.3,1.4,-0.1,-3.2,3.1,0.4,17.9,0.539,0.288,0.259,8.9,24.1,16.4,7.6,0.8,6.9,13.7
J.J. Barea,752,38,16.5,1.2,0.077,0.5,0.7,-0.8,1.2,-2.0,0.2,27.9,0.495,0.332,0.203,1.9,11.5,6.8,47.8,1.4,0.1,14.7
Harrison Barnes,1692,52,13.1,2.5,0.071,1.1,1.4,-2.6,-0.8,-1.8,-0.3,23.1,0.536,0.439,0.273,2.6,11.8,7.3,6.6,1.1,0.5,8.0
Nicolas Batum,1778,57,12.0,3.0,0.081,1.6,1.4,0.8,-0.1,0.9,1.3,13.2,0.585,0.5,0.174,3.0,15.2,9.0,14.8,1.5,1.5,16.9
Aron Baynes,507,34,15.0,1.6,0.153,0.9,0.7,0.8,-0.3,1.1,0.4,16.7,0.574,0.324,0.311,12.6,18.4,15.5,10.2,0.6,3.9,14.3
Kent Bazemore,1122,44,14.2,1.1,0.049,0.1,1.1,-0.7,-1.2,0.5,0.4,22.5,0.538,0.403,0.275,2.2,14.0,8.0,14.7,2.8,2.8,14.0
Bradley Beal,2158,58,19.8,4.7,0.105,3.5,1.2,2.1,3.2,-1.1,2.2,28.3,0.576,0.367,0.263,3.3,11.9,7.5,23.3,1.8,1.7,11.7
Malik Beasley,1371,57,15.3,3.9,0.135,2.9,1.0,0.2,2.3,-2.2,0.8,17.9,0.631,0.528,0.084,1.7,9.7,5.7,7.2,1.4,0.4,5.9
Marco Belinelli,1295,57,13.4,2.2,0.083,1.6,0.6,-1.2,1.4,-2.6,0.3,20.2,0.571,0.574,0.199,0.9,10.3,5.6,11.8,1.1,0.5,8.4
Jordan Bell,531,48,13.7,1.3,0.115,0.6,0.7,0.7,-2.3,3.0,0.4,12.6,0.533,0.008,0.169,8.0,17.1,12.7,13.3,1.4,5.7,15.3
DeAndre' Bembry,1412,58,9.4,0.2,0.005,-1.0,1.1,-2.8,-3.8,0.9,-0.3,16.6,0.49,0.297,0.205,2.3,15.9,9.0,14.4,2.4,1.8,17.6
Davis Bertans,1130,53,14.5,3.2,0.135,2.3,0.9,2.4,2.7,-0.3,1.2,13.8,0.682,0.751,0.131,1.8,16.1,9.0,7.9,1.2,1.9,9.0
Patrick Beverley,1579,59,11.1,3.3,0.099,1.9,1.4,1.9,0.8,1.0,1.5,12.0,0.555,0.589,0.302,3.4,14.7,9.3,17.3,1.4,1.5,13.8
Nemanja Bjelica,1307,56,15.7,3.4,0.125,1.9,1.5,2.3,1.0,1.3,1.4,17.0,0.594,0.439,0.156,7.2,18.5,12.7,11.4,1.5,2.9,12.9
Antonio Blakeney,580,42,11.5,-0.2,-0.019,-0.5,0.2,-8.1,-4.4,-3.8,-0.9,25.3,0.502,0.246,0.197,1.1,11.1,6.1,6.6,0.8,1.2,7.5
Eric Bledsoe,1630,56,19.4,6.2,0.184,3.4,2.9,3.8,2.6,1.1,2.4,22.6,0.584,0.393,0.229,3.7,11.9,8.0,26.9,2.4,1.2,13.3
Bogdan Bogdanovic,1258,45,14.6,1.8,0.069,0.8,1.0,-0.6,0.6,-1.2,0.4,23.4,0.528,0.424,0.196,1.7,11.8,6.6,20.5,1.8,0.7,11.2
Bojan Bogdanovic,1845,58,15.2,5.0,0.131,2.8,2.3,0.1,1.2,-1.0,1.0,20.9,0.615,0.381,0.271,1.7,12.0,7.0,8.3,1.3,0.0,10.2
